brand,model,price,year,mileage,engine_power,engine_displacement,fuel_consumption,registration_until,service_book,garage_kept,num_of_features
Fiat,Punto,1500.0,2004,184451,59,1.242,6.0,2025-03-31,False,False,14
Citroen,C5 Aircross,18999.0,2020,115148,96,1.499,5.0,,False,False,73
Audi,A3 Cabrio,18500.0,2014,135000,110,1.98,6.0,2025-07-31,False,True,48
BMW,Serija 5,6800.0,2007,284000,120,1.995,7.0,2025-01-31,False,False,40
Citroen,C4,7500.0,2014,182500,84,1.56,5.0,2025-06-30,False,False,49
Citroen,C3 Pluriel,1800.0,2005,103000,50,1.399,4.0,2024-06-30,False,False,11
Fiat,500X,11900.0,2017,116687,88,1.6,6.0,2025-06-30,False,False,33
BMW,Serija 5,19900.0,2017,216000,140,2.0,6.0,2025-07-31,False,False,22
Citroen,C5 Break,4750.0,2011,303700,82,1.6,6.0,2024-10-31,False,True,36
Audi,A6 Avant,21000.0,2015,180000,140,1.997,6.0,2025-02-28,False,False,3
Audi,A7,34500.0,2016,229000,240,2.967,9.0,2024-10-31,False,True,77
BMW,Serija 3,11700.0,2012,203000,85,1.995,5.0,2025-09-30,False,True,39
BMW,X1,24700.0,2020,148000,96,1.6,5.0,2025-05-31,False,True,40
Audi,A3,21490.0,2021,150000,85,1.968,5.0,,False,False,44
Citroen,C4,4999.0,2008,210023,80,1.6,7.0,2025-03-31,False,True,9
Citroen,C4,7500.0,2013,201000,84,1.56,6.0,2025-04-30,False,True,39
DS Automobiles,DS7 Crossback,23990.0,2019,164000,96,1.496,5.0,2025-03-31,False,True,70
Audi,A5 Coupe,12000.0,2008,280000,176,2.967,10.0,2025-08-31,False,False,55
BMW,Serija 3 Touring,20900.0,2020,175000,110,1.995,5.0,2025-04-30,False,True,66
Fiat,Bravo,2500.0,2008,410000,88,1.9,5.0,2025-04-30,False,False,13
Audi,Q7,15900.0,2006,264000,171,3.0,10.0,2025-11-30,False,False,77
BMW,Serija 3 Coupe,11500.0,2006,285000,160,2.5,9.0,2025-02-28,False,False,31
Audi,A4 Avant,8800.0,2011,241568,100,1.975,5.0,2024-08-31,False,True,30
Alfa Romeo,Stelvio,28950.0,2018,114000,154,2.199,8.0,2025-10-31,False,False,71
BMW,X3,8500.0,2007,340000,130,2.0,7.0,2025-10-31,False,True,62
BMW,Serija 4 Coupe,25300.0,2016,66000,162,2.0,7.0,2025-10-31,False,True,31
BMW,Serija 5 Touring,16999.0,2016,226000,140,1.998,7.0,2025-12-31,False,True,60
Fiat,500,6500.0,2011,112000,62,0.9,6.0,2025-04-30,False,False,48
Citroen,C3 Aircross,20500.0,2022,16576,81,1.5,5.0,,False,True,25
Audi,A3 Sportback,16500.0,2019,161000,85,1.6,4.0,2025-08-31,False,True,88
Audi,A6 Avant,17399.0,2015,157000,140,2.0,6.0,2025-02-28,False,True,48
Fiat,Punto,1000.0,2001,220000,59,1.2,6.0,2025-03-31,False,True,6
BMW,Serija 5,7000.0,2004,375500,160,3.0,9.0,2025-06-30,False,False,38
Audi,A6 Avant,35000.0,2020,139000,150,1.998,5.0,2025-05-31,False,True,82
Citroen,Berlingo,2500.0,2007,242000,66,1.6,6.0,2025-06-30,False,False,16
Audi,A4,1400.0,1997,407000,55,1.9,5.0,2025-07-31,False,False,3
Audi,Q5,43000.0,2023,90000,120,2.0,5.0,2025-07-31,False,True,82
BMW,X1,19980.0,2016,185000,140,2.0,5.0,2026-01-31,False,True,70
Citroen,DS4,7000.0,2014,216000,84,1.6,5.0,2025-02-28,False,False,50
BMW,X1,18700.0,2017,108000,110,1.995,6.0,2025-01-31,False,False,22
BMW,X1,13300.0,2012,166000,105,1.998,6.0,2025-07-31,False,True,82
BMW,Serija 2 Active Tourer,12200.0,2016,198000,85,1.498,5.0,2025-06-30,False,True,73
Fiat,Panda,2100.0,2002,160000,40,1.1,6.0,,False,False,1
Citroen,C5,6700.0,2009,226000,100,2.0,7.0,2025-07-31,False,False,43
Audi,A6,20900.0,2017,220500,160,2.967,6.0,2025-04-30,False,True,63
BMW,Serija 3 Touring,11500.0,2015,240000,85,2.0,5.0,2025-05-31,False,False,1
BMW,Serija 3,7350.0,2011,276542,105,2.0,5.0,2025-09-30,False,True,58
Citroen,C3,11800.0,2018,89000,81,1.199,7.0,,False,False,19
BMW,Serija 3,1111.0,1998,490000,135,3.0,8.0,,False,False,30
Audi,A3 Coupe,4500.0,2010,310000,77,1.6,5.0,2024-09-30,False,True,34
BMW,Serija 5,33990.0,2020,35000,110,1.995,6.0,,False,False,53
BMW,Serija 5,34500.0,2021,101000,110,1.995,6.0,,False,False,52
BMW,Serija 2 Active Tourer,10200.0,2015,219000,85,1.496,5.0,2025-12-31,False,True,69
BMW,X5,3300.0,2002,431000,170,3.0,10.0,,False,False,1
Fiat,Tipo,8500.0,2017,150000,77,1.3,5.0,2025-08-31,False,False,12
BMW,Serija 3 Touring,7800.0,2011,236000,105,1.995,6.0,2025-10-31,False,True,42
Audi,A6,3200.0,2004,348000,132,2.498,8.0,2025-04-30,False,False,30
Audi,A4 Avant,29900.0,2021,79500,120,1.968,4.0,2025-02-28,False,False,43
Audi,A4 Avant,34000.0,2020,114000,100,2.0,5.0,2025-08-31,False,False,92
Chrysler,Sebring,10000.0,2008,111272,137,2.7,9.0,2025-10-31,False,False,46
Audi,A4,14500.0,2016,259900,100,1.968,6.0,2025-03-31,False,True,72
Audi,80 Avant,700.0,1994,300000,66,1.9,6.0,,False,True,30
BMW,X3,14100.0,2011,265000,135,2.0,6.0,2025-08-31,False,False,1
BMW,Serija 3,30500.0,2019,87072,110,2.0,5.0,2024-12-31,False,True,79
Citroen,C4 Grand Picasso,4970.0,2009,297000,80,1.56,7.0,2025-09-30,False,True,65
BMW,X1,20000.0,2016,115000,110,1.998,5.0,2025-07-31,False,True,84
BMW,Serija 3,13000.0,2017,220000,110,1.959,5.0,2025-07-31,False,False,71
BMW,Serija 1,10850.0,2010,174000,105,2.0,5.0,2025-09-30,False,True,36
Fiat,Doblo,5500.0,2011,136000,66,1.3,5.0,,False,False,19
Citroen,Saxo,1100.0,2001,250000,42,1.42,5.0,2025-02-28,False,False,4
BMW,Serija 5 Touring,12000.0,2012,240000,160,2.0,7.0,2025-09-30,False,False,54
BMW,Serija 3 Touring,16950.0,2017,187000,140,2.0,5.0,2025-09-30,False,True,1
BMW,Serija 1,14800.0,2018,99500,85,1.5,5.0,2024-11-30,False,True,47
BMW,Serija 4 Gran Coupe,20500.0,2015,230000,162,1.995,6.0,2026-01-31,False,True,59
BMW,Serija 2 Gran Tourer,16000.0,2020,148000,110,1.995,5.0,2025-09-30,False,False,1
Audi,A6 Avant,4470.0,2004,299000,96,1.896,7.0,2026-01-31,False,True,57
BMW,X2,23300.0,2018,166285,110,1.992,5.0,2025-08-31,False,False,73
Audi,Q2,16900.0,2017,159000,85,1.6,5.0,2024-11-30,False,False,2
Citroen,C4 Cactus,11900.0,2020,53000,81,1.199,6.0,2025-01-31,False,False,48
Audi,A3 Coupe,5200.0,2005,127400,75,1.6,7.0,2025-10-31,False,True,27
BMW,Serija 2 Gran Coupe,33000.0,2022,29988,100,1.499,6.0,2024-11-30,False,False,1
Citroen,Berlingo,6200.0,2011,210000,66,1.6,6.0,2025-01-31,False,False,13
Citroen,Xsara Picasso,1000.0,2002,260000,70,1.6,6.0,2025-07-31,False,False,11
Fiat,Grande Punto,1990.0,2007,204000,57,1.4,6.0,,False,True,34
Fiat,Tipo,12400.0,2020,136400,88,1.598,5.0,,False,True,31
BMW,Serija 3,15900.0,2017,190000,140,1.998,5.0,2025-06-30,False,False,39
BMW,Serija 5 Touring,12000.0,2013,262000,197,3.0,8.0,2025-06-30,False,True,64
Fiat,Croma,1200.0,2009,475000,110,1.91,6.0,,False,False,1
Audi,A4 Avant,9999.0,2013,215000,88,1.968,6.0,2025-10-31,False,True,42
Audi,A5 Cabrio,36900.0,2017,151000,140,1.968,6.0,2025-02-28,False,True,75
BMW,Serija 1,17900.0,2020,144000,85,1.5,5.0,,False,True,57
BMW,Serija 3 Touring,10500.0,2013,250000,135,1.995,6.0,2025-07-31,False,True,70
BMW,Serija 3,7800.0,2011,250000,120,2.0,6.0,2025-06-30,False,False,17
BMW,Serija 2 Active Tourer,16490.0,2019,136000,85,1.496,5.0,,False,False,48
Fiat,Punto,2500.0,2008,160000,44,1.242,7.0,2025-09-30,False,False,1
BMW,Serija 1,12999.0,2015,152000,85,1.596,6.0,2025-08-31,False,False,31
Citroen,Xsara,500.0,2004,190000,50,1.4,6.0,,False,False,8
Audi,A3,19999.0,2018,46000,85,1.0,5.0,2025-05-31,False,True,60
BMW,Serija 3 Gran Turismo,13000.0,2013,191201,105,1.995,6.0,2024-11-30,False,True,35
Audi,A4 Avant,14250.0,2015,292200,110,2.0,6.0,2025-08-31,False,False,39
Citroen,Berlingo,7000.0,2010,203000,80,1.569,6.0,2024-11-30,False,True,27
Audi,A3 Sportback,6500.0,2005,220000,147,1.984,8.0,2025-09-30,False,True,40
BMW,Serija 1,7000.0,2011,270000,105,2.0,6.0,2025-08-31,False,True,16
BMW,Serija 1,6200.0,2007,242000,105,1.998,7.0,2026-01-31,False,True,41
Fiat,500,5250.0,2009,124900,51,1.2,6.0,2025-02-28,False,True,29
BMW,Serija 3,16250.0,2015,184000,85,1.995,5.0,2025-02-28,False,True,46
Audi,A6,15600.0,2011,220000,180,3.0,8.0,2025-07-31,False,True,62
Audi,A6,28000.0,2016,210000,252,3.0,7.0,2025-09-30,False,True,79
BMW,X1,11999.0,2013,170000,105,1.995,5.0,2025-10-31,False,True,17
BMW,Serija 3,7950.0,2010,170000,105,1.995,6.0,2025-08-31,False,True,39
Audi,Q3,20000.0,2016,157000,110,2.0,8.0,2025-03-31,False,False,50
BMW,Serija 5,11000.0,2011,243500,135,1.995,8.0,2025-04-30,False,True,44
Audi,A8,73900.0,2020,99987,250,2.999,10.0,2025-05-31,False,True,96
BMW,Serija 1,23500.0,2020,65000,103,1.5,5.0,2025-07-31,False,True,57
BMW,Serija 5,9150.0,2008,326000,173,3.0,6.0,2025-06-30,False,True,66
Fiat,Croma,2300.0,2008,240000,110,1.9,6.0,2025-05-31,False,False,40
Audi,Q2,25900.0,2021,53458,81,1.0,5.0,2025-02-28,False,True,74
Audi,Q7,48000.0,2017,89000,160,3.0,10.0,2025-02-28,False,True,69
BMW,Serija 3 Gran Turismo,19200.0,2016,193500,140,1.995,6.0,2025-12-31,False,False,2
BMW,Serija 1,12400.0,2013,179000,135,1.995,6.0,2025-07-31,False,True,51
BMW,Serija 3,7600.0,2009,245500,85,2.0,5.0,2024-12-31,False,False,1
Audi,A3,6000.0,2009,275000,103,1.968,6.0,2025-04-30,False,False,33
DS Automobiles,DS5,16500.0,2014,53300,84,1.589,6.0,2025-02-28,False,True,67
BMW,Serija 3 Coupe,9500.0,2008,235000,125,1.995,8.0,2025-02-28,False,False,41
Fiat,Punto,999.0,2001,115000,44,1.242,7.0,2025-04-30,False,False,1
BMW,Serija 3,17700.0,2013,180000,190,3.0,8.0,2025-10-31,False,True,63
Audi,A4 Avant,800.0,2000,335000,110,2.5,8.0,,False,False,17
BMW,Serija 3,4000.0,2002,270000,85,1.8,7.0,2025-09-30,False,False,24
BMW,Serija 2 Gran Coupe,29000.0,2021,130000,110,1.8,5.0,2025-10-31,False,True,60
Citroen,C5 Aircross,23300.0,2021,85600,133,1.598,6.0,,False,False,1
BMW,Serija 5,15000.0,2013,245000,136,1.898,6.0,2025-06-30,False,True,72
Audi,A3,8499.0,2013,148000,77,1.197,5.0,2026-01-31,False,True,31
BMW,Serija 3 Touring,31990.0,2022,105000,140,1.995,6.0,2025-05-31,False,True,88
Citroen,C3,2300.0,2008,170000,55,1.4,6.0,2025-01-31,False,False,1
Citroen,Xsara Picasso,2000.0,2008,320000,66,1.6,5.0,2025-11-30,False,True,32
Citroen,C4,4000.0,2010,171000,88,1.6,7.0,2025-06-30,False,True,29
BMW,Serija 3,17000.0,2016,146000,110,1.995,6.0,2025-11-30,False,True,49
Audi,A4 Avant,20000.0,2017,145000,110,1.968,6.0,,False,True,79
Audi,A4,18500.0,2016,290000,110,1.968,6.0,2025-11-30,False,True,43
BMW,Serija 1,4800.0,2008,295000,130,1.995,7.0,2025-08-31,False,False,37
BMW,Serija 3 Touring,22800.0,2021,152000,110,2.0,5.0,2025-10-31,False,True,65
Fiat,500,7000.0,2014,165000,77,0.9,5.0,2025-07-31,False,True,47
Citroen,C3,1000.0,2008,247400,54,1.36,6.0,,False,False,15
BMW,Serija 5 Touring,26900.0,2018,175000,195,2.993,7.0,2025-06-30,False,True,60
BMW,Serija 3 Touring,5500.0,2010,362000,105,1.995,7.0,2025-06-30,False,False,53
Audi,80,2500.0,1994,509000,66,1.9,5.0,2025-09-30,False,True,30
Fiat,Tipo,8000.0,2016,172200,70,1.298,6.0,2025-05-31,False,False,33
Audi,A3,12500.0,2014,136000,77,1.275,5.0,2025-02-28,False,True,15
BMW,X5,13500.0,2009,374197,210,3.0,9.0,2025-04-30,False,True,107
Audi,A4 Avant,10000.0,2013,272000,100,2.0,6.0,2025-12-31,False,False,44
BMW,Serija 3,5500.0,2011,184000,105,2.0,6.0,2025-03-31,False,True,46
Audi,A4,9300.0,2010,261331,100,1.968,4.0,2025-02-28,False,False,20
Audi,A6,11300.0,2012,300637,130,1.968,5.0,2026-01-31,False,True,61
Audi,A4 Avant,19400.0,2020,182486,100,1.968,5.0,2025-10-31,False,False,71
Citroen,C4,16700.0,2021,48000,96,1.199,6.0,,False,False,47
BMW,X3,23500.0,2015,156000,140,2.0,7.0,2025-10-31,False,True,79
Alfa Romeo,Giulietta,4900.0,2010,290000,77,1.6,5.0,2025-02-28,False,False,24
BMW,Serija 5,37500.0,2020,170000,185,2.5,7.0,2025-08-31,False,False,93
BMW,Serija 5 Touring,13000.0,2014,199000,135,1.998,6.0,2025-03-31,False,True,42
Citroen,C3 Pluriel,400.0,2005,92333,65,1.599,6.0,,False,False,1
Citroen,C4,2500.0,2008,151242,65,1.36,7.0,2025-05-31,False,True,11
BMW,Serija 3,22900.0,2016,176000,162,2.0,5.0,2025-01-31,False,True,76
BMW,X4,30500.0,2017,156000,140,2.0,7.0,2025-03-31,False,True,41
Audi,A6 Avant,22000.0,2016,198400,140,1.968,8.0,2025-01-31,False,False,59
BMW,Serija 3 Coupe,14000.0,1993,314000,110,1.991,13.0,2025-02-28,False,False,16
Citroen,C-Elysee,7300.0,2019,158000,75,1.499,6.0,2025-08-31,False,True,3
Audi,A4,26000.0,2020,112000,110,1.984,7.0,2025-01-31,False,True,67
Audi,Q5,23000.0,2013,199000,180,3.0,9.0,2025-07-31,False,True,62
BMW,Serija 3,1400.0,1995,355375,85,1.796,7.0,,False,False,9
Fiat,Punto,1970.0,2004,147000,44,1.242,6.0,2025-11-30,False,True,33
Audi,Q2,22000.0,2021,54000,74,1.0,5.0,2025-07-31,False,False,3
BMW,Serija 1,30000.0,2021,62000,140,1.998,6.0,2025-02-28,False,True,57
Audi,Q5,64900.0,2023,15000,150,1.968,6.0,2025-07-31,False,False,34
BMW,X5,58000.0,2021,177000,210,3.0,10.0,2025-10-31,False,True,97
Citroen,C3,10000.0,2021,140000,83,1.6,4.0,2025-07-31,False,False,19
Audi,TT,8500.0,2006,300000,200,2.0,8.0,2025-09-30,False,True,38
Alfa Romeo,Giulietta,7500.0,2012,174000,125,1.956,6.0,2025-07-31,False,False,6
Citroen,C4,4699.0,2011,287000,68,1.56,7.0,2025-09-30,False,False,32
Alfa Romeo,159 SW,3300.0,2008,300000,110,1.91,5.0,2025-02-28,False,True,45
BMW,Serija 5 Touring,31900.0,2021,121000,140,2.0,6.0,2025-11-30,False,False,81
Audi,A1,8200.0,2011,213000,77,1.6,5.0,2025-11-30,False,False,36
BMW,X3,30000.0,2018,150000,140,1.98,7.0,2025-09-30,False,True,63
Fiat,500,9100.0,2016,90000,51,1.25,4.0,2025-10-31,False,True,40
Audi,A8,11970.0,2009,329000,240,4.134,8.0,2025-04-30,False,True,91
Citroen,Berlingo Furgon,450.0,2004,462700,51,1.905,5.0,,False,False,1
Audi,A6,19900.0,2017,171000,140,1.968,7.0,2025-03-31,False,False,53
Audi,Q3,26400.0,2019,38000,110,1.498,7.0,2025-05-31,False,True,83
BMW,Serija 3 Cabriolet,16800.0,2011,120000,135,1.995,6.0,2025-09-30,False,False,41
Citroen,C5,2470.0,2006,268000,103,1.997,7.0,2025-11-30,False,True,56
Alfa Romeo,159,6800.0,2009,165245,110,1.9,6.0,2025-03-31,False,True,39
BMW,Serija 1,14000.0,2013,241000,160,2.0,6.0,2025-10-31,False,True,68
Citroen,C4 Picasso,3470.0,2007,275000,80,1.56,7.0,2025-11-30,False,False,53
Audi,S3,24999.0,2013,165000,221,1.986,9.0,2025-01-31,False,True,81
BMW,Serija 2 Active Tourer,19990.0,2019,82000,165,1.499,5.0,2025-06-30,False,True,64
Audi,A3 Sedan,16300.0,2015,171568,81,1.598,5.0,2026-01-31,False,True,51
Citroen,Saxo,880.0,1999,130000,37,0.954,5.0,2025-04-30,False,True,1
Citroen,C4,8200.0,2017,172000,73,1.56,4.0,2025-11-30,False,False,53
Audi,A4 Avant,7900.0,2009,205300,105,2.0,5.0,,False,True,86
BMW,Serija 4 Coupe,51999.0,2022,37000,180,1.998,9.0,2025-12-31,False,True,2
BMW,Serija 3,12800.0,2012,233000,135,2.0,5.0,2025-05-31,False,True,36
Audi,A6 Avant,4470.0,2004,245000,132,2.489,7.0,2026-01-31,False,True,62
Alfa Romeo,166,3970.0,2005,249000,129,2.398,8.0,2025-11-30,False,True,1
BMW,Serija 6,32000.0,2011,223000,445,4.4,12.0,2025-04-30,False,False,76
BMW,Serija 3 Touring,7200.0,2011,226822,105,2.0,5.0,2025-08-31,False,True,53
Citroen,C3 Picasso,7799.0,2015,177000,68,1.56,5.0,2025-07-31,False,False,26
Audi,A3,15400.0,2013,176000,110,1.998,6.0,2025-10-31,False,True,53
Fiat,Stilo,1300.0,2006,210000,70,1.4,6.0,2025-09-30,False,False,1
Audi,A3 Sportback,33800.0,2020,40000,110,2.0,4.0,2025-10-31,False,True,83
Citroen,C3,2750.0,2003,106121,54,1.4,6.0,2025-01-31,False,True,26
Dacia,Sandero,10500.0,2018,79500,66,1.498,6.0,2025-05-31,False,True,47
BMW,X1,19000.0,2017,136000,110,2.0,5.0,2026-01-31,False,True,65
BMW,Serija 5 Touring,5000.0,2006,252000,130,2.497,9.0,2025-06-30,False,False,43
Daihatsu,Terios,4500.0,2001,180000,65,1.298,7.0,2025-06-30,False,False,50
Audi,A3 Sportback,9600.0,2015,256000,81,1.6,5.0,2025-09-30,False,True,67
BMW,Serija 3 Touring,24950.0,2020,105000,110,1.995,6.0,2025-02-28,False,True,78
Citroen,C4 Spacetourer,12400.0,2019,116000,96,1.5,6.0,2025-04-30,False,True,71
Fiat,Punto,1470.0,2002,289000,44,1.242,6.0,2025-11-30,False,True,32
Fiat,Punto,1970.0,2004,147000,44,1.242,6.0,2025-11-30,False,True,31
BMW,Serija 3,11100.0,2012,163000,105,1.998,5.0,2025-11-30,False,False,34
Cupra,Formentor,30000.0,2022,34000,180,1.4,3.0,2025-10-31,False,True,85
Audi,A6,12300.0,2011,248356,150,3.0,7.0,2025-06-30,False,True,62
Fiat,Punto,1100.0,2002,220000,44,1.296,6.0,2025-04-30,False,False,1
Alfa Romeo,Giulietta,11500.0,2014,131000,88,1.368,7.0,2025-12-31,False,True,56
Fiat,Stilo,2500.0,2004,334000,59,1.91,6.0,2025-10-31,False,False,18
Audi,Q3,30400.0,2020,67785,110,1.498,6.0,2025-05-31,False,True,57
Fiat,Punto,1600.0,2001,128000,44,1.2,6.0,2025-09-30,False,False,2
BMW,Serija 4 Gran Coupe,17250.0,2015,154000,140,1.998,5.0,2025-10-31,False,True,62
BMW,Serija 3,14200.0,2014,225000,120,1.998,5.0,2025-04-30,False,False,1
BMW,Serija 3 Touring,2150.0,2000,379100,100,2.0,6.0,2025-08-31,False,False,42
BMW,X1,8499.0,2011,215000,105,1.989,6.0,2025-09-30,False,True,33
